customer_id,customer_name,city,state,phone,email
1,Jagrati Chandran,Delhi,Delhi,04404791098,madhavbarad@example.net
2,Urvashi D’Alia,Bangalore,Karnataka,09635347969,dayita79@example.org
3,Vaishnavi Sangha,Pune,Maharashtra,01344413931,mhans@example.net
4,Tarak Vohra,Kolkata,West Bengal,05820557775,omuni@example.org
5,Aarna Padmanabhan,Hyderabad,Telangana,03031426421,leena07@example.net
6,Gaurangi Nath,Bangalore,Karnataka,07747704762,udant71@example.net
7,Charvi Shetty,Chennai,Tamil Nadu,4198936984,vbhat@example.org
8,Edhitha Ranganathan,Kolkata,West Bengal,+918494764537,pbrar@example.org
9,Jackson Narang,Mumbai,Maharashtra,+919257880289,kalpit26@example.net
10,Vasana Seth,Mumbai,Maharashtra,7313109140,valaindrajit@example.com
11,Yagnesh Kala,Pune,Maharashtra,+919283235571,qpatla@example.org
12,Abhiram Bhatnagar,Mumbai,Maharashtra,6504150263,gmurty@example.net
13,Tanveer Shankar,Kolkata,West Bengal,6216068318,goswamineelima@example.org
14,Omkaar Kakar,Kolkata,West Bengal,02342992713,saranom@example.org
15,Victor Mital,Hyderabad,Telangana,08100290631,anjali97@example.net
16,Ganga Keer,Delhi,Delhi,+919259516188,dalbirdyal@example.org
17,Anthony Vohra,Lucknow,Uttar Pradesh,2274540881,zashil20@example.org
18,Gauri Bassi,Mumbai,Maharashtra,+917742007745,uvyas@example.com
19,Samuel Batta,Pune,Maharashtra,00798705116,cgara@example.net
20,Dipta Thaman,Mumbai,Maharashtra,+917365369515,samaksh81@example.net
21,Radha Parikh,Hyderabad,Telangana,03820589504,walilajita@example.org
22,Hemani Sankar,Kolkata,West Bengal,5096538219,deepsuhani@example.org
23,Garima Hora,Chennai,Tamil Nadu,+910443499901,sravel@example.org
24,Shravya Khalsa,Mumbai,Maharashtra,+914452780415,mammenzilmil@example.com
25,Ria Hans,Delhi,Delhi,05237308275,dasguptachakradev@example.net
26,Chakradev Kala,Chennai,Tamil Nadu,0338722944,tanvipalla@example.com
27,Kamya Sarna,Hyderabad,Telangana,5367060939,baradudant@example.com
28,Lajita Ramachandran,Mumbai,Maharashtra,02731143033,bajwayashvi@example.net
29,Geetika Dugar,Chennai,Tamil Nadu,07410670833,vedika90@example.org
30,Bina Nayar,Mumbai,Maharashtra,+910955927278,falak39@example.net
31,Harita Chaudhry,Pune,Maharashtra,+917792269361,vanya36@example.net
32,Nitara Nagi,Hyderabad,Telangana,+919412109196,mohinichadha@example.net
33,Chanakya Srinivas,Lucknow,Uttar Pradesh,06584984578,dmistry@example.com
34,Aarna Din,Kolkata,West Bengal,+913145270898,edhithapall@example.com
35,Nachiket Sunder,Bangalore,Karnataka,+919974893458,loganpalla@example.com
36,Harini Mohanty,Kolkata,West Bengal,+916270119477,jmorar@example.net
37,Kritika Banerjee,Kolkata,West Bengal,1384923795,oviyakalita@example.com
38,Akshay Kaul,Chennai,Tamil Nadu,9495435766,aryanagrawal@example.net
39,Naksh Batta,Hyderabad,Telangana,7604356502,badamiojasvi@example.com
40,Aashi Mallick,Mumbai,Maharashtra,+913370790098,isaacmisra@example.com
41,Suhani Tella,Bangalore,Karnataka,6490822641,hemangini47@example.org
42,Arin Char,Chennai,Tamil Nadu,+915848781556,natarajansamarth@example.com
43,Zansi Chawla,Bangalore,Karnataka,01146684334,rachitabail@example.net
44,Ekaraj Dass,Lucknow,Uttar Pradesh,6324246051,gpall@example.com
45,Unni Mallick,Pune,Maharashtra,3652284589,kondayagnesh@example.com
46,Yahvi Kumar,Hyderabad,Telangana,04846693520,vyanjana53@example.com
47,Ayushman Narula,Chennai,Tamil Nadu,06251520600,indaligokhale@example.org
48,Udant Varty,Kolkata,West Bengal,7303832236,chamelipillay@example.net
49,Edhitha Bir,Delhi,Delhi,01513562183,usrivastava@example.net
50,Radha Upadhyay,Chennai,Tamil Nadu,+913685192070,tnagar@example.com
51,Pranit Taneja,Delhi,Delhi,+918160172010,bhattacharyyamason@example.org
52,Timothy Dugar,Kolkata,West Bengal,7640333718,jatin79@example.org
53,Xalak Karan,Pune,Maharashtra,08497070903,balayvyanjana@example.org
54,Christopher Lal,Hyderabad,Telangana,5237500760,faris33@example.org
55,Aayush Sankaran,Mumbai,Maharashtra,+916572010407,doshishaurya@example.com
56,Balveer Vig,Chennai,Tamil Nadu,02461310894,omkaar11@example.com
57,Vamakshi Sawhney,Kolkata,West Bengal,03999378767,sahotaindrajit@example.com
58,David Sane,Chennai,Tamil Nadu,02972341292,champakraja@example.org
59,Kamala Raja,Lucknow,Uttar Pradesh,9964555778,devanshchakraborty@example.net
60,Advika Bahl,Pune,Maharashtra,+910478035464,kakararunima@example.com
61,Warjas Goswami,Lucknow,Uttar Pradesh,6048447892,rpalla@example.net
62,Isaac Oommen,Bangalore,Karnataka,07849674951,pmody@example.net
63,Yug Raj,Hyderabad,Telangana,3843915683,xiti34@example.com
64,Qadim Saxena,Bangalore,Karnataka,+918253724048,lajita36@example.com
65,Advika Sastry,Chennai,Tamil Nadu,2391024549,mishranitesh@example.org
66,Jeet Das,Hyderabad,Telangana,08264933172,nazarethchandran@example.org
67,Shivansh Baria,Pune,Maharashtra,+916656219116,regechatresh@example.com
68,Ekiya Edwin,Pune,Maharashtra,01556069649,krish58@example.com
69,Dalaja Kunda,Kolkata,West Bengal,+912662945801,dalajatalwar@example.com
70,Hemani Bora,Chennai,Tamil Nadu,8556949874,vpandey@example.net
71,Darika Comar,Bangalore,Karnataka,1593024346,hvenkatesh@example.com
72,Nihal Oommen,Lucknow,Uttar Pradesh,2971899810,arjunbuch@example.net
73,Jatin Mannan,Mumbai,Maharashtra,+913657972928,pantpranav@example.org
74,Geetika Toor,Delhi,Delhi,00950508416,sagardarika@example.org
75,Madhav Menon,Mumbai,Maharashtra,03689209988,kapurzilmil@example.com
76,Hemang Edwin,Bangalore,Karnataka,+911295596603,dbumb@example.com
77,Aarini Lata,Bangalore,Karnataka,+913526025405,ekballal@example.net
78,Divya Mani,Pune,Maharashtra,5379496563,horayashica@example.net
