id,name,age,region,category,sales
1,Ram,25.0,North,Electronics,5000
2,Shyam,30.0,South,Furniture,7000
3,Hari,22.0,North,Electronics,4500
4,Gita,,East,Clothing,3000
5,Sita,28.0,West,Furniture,8000
6,Ram,25.0,North,Electronics,5000
7,Rita,35.0,South,Clothing,6000
8,Mohan,40.0,West,Electronics,9000
9,Ravi,31.0,North,Furniture,6500
10,Amit,27.0,East,Electronics,5200
11,Shyam,30.0,South,Furniture,7000
12,Anjali,24.0,West,Clothing,4100
13,Vijay,29.0,North,Clothing,3800
14,Gita,,East,Clothing,3000
15,Suman,33.0,South,Electronics,7200
16,Rahul,26.0,East,Furniture,4900
17,Sunita,32.0,West,Clothing,5300
18,Ajay,38.0,North,Electronics,8500
19,Deepak,45.0,South,Furniture,9500
20,Anjali,24.0,West,Clothing,4100
21,Neha,23.0,East,Electronics,4600
22,Vikram,34.0,North,Furniture,7100
23,Karan,29.0,South,Clothing,3200
24,Pooja,27.0,West,Electronics,6100
25,Ram,25.0,North,Electronics,5000
26,Sanjay,41.0,East,Furniture,8300
27,Aarti,36.0,North,Clothing,5900
28,Mohit,22.0,South,Electronics,4300
29,Rita,35.0,South,Clothing,6000
30,Kiran,30.0,West,Furniture,6800
31,Arjun,25.0,East,Clothing,3500
32,Meena,28.0,North,Electronics,5400
33,Rajesh,39.0,South,Furniture,7600
34,Swati,31.0,West,Clothing,4700
35,Amit,27.0,East,Electronics,5200
36,Anil,33.0,North,Electronics,6900
37,Jyoti,26.0,South,Clothing,3900
38,Sita,28.0,West,Furniture,8000
39,Vikram,34.0,North,Furniture,7100
40,Ritu,29.0,East,Electronics,5800
41,Gaurav,37.0,West,Furniture,9100
42,Karan,29.0,South,Clothing,3200
43,Preeti,,North,Clothing,3100
44,Nitin,32.0,East,Electronics,6300
45,Deepak,45.0,South,Furniture,9500
46,Priya,24.0,West,Furniture,5200
47,Sonu,28.0,North,Clothing,4200
48,Aarti,36.0,North,Clothing,5900
49,Dinesh,42.0,South,Electronics,8800
50,Megha,27.0,East,Furniture,6100
