customer_id,name,email,city,signup_date
1,Allison Hill,donaldgarcia@example.net,New Roberttown,2023-12-01
2,Jonathan Johnson,jennifermiles@example.com,South Bridget,2023-07-19
3,Caitlin Henderson,eric51@example.org,Davisstad,2026-01-31
4,Andrew Stevens,dudleynicholas@example.net,Mariastad,2025-12-21
5,Benjamin Stanley,tracie31@example.com,Shawnstad,2024-03-17
6,Daniel Adams,lynchgeorge@example.net,East Steven,2024-08-31
7,Margaret Hawkins DDS,perezantonio@example.com,Adamsborough,2025-12-06
8,Emily Rios,pwilkerson@example.com,West Donald,2025-11-27
9,Nicole Patterson,icox@example.net,Daviston,2023-12-26
10,Christopher Becker,,Tashatown,2026-05-30
11,Melanie Herrera,kayla51@example.com,Mooretown,2024-08-21
12,Pamela Romero,harrellkenneth@example.net,East Nathaniel,2024-03-15
13,Paula Moreno,georgetracy@example.org,Natashaport,2024-07-14
14,Shawn Arroyo,dennislisa@example.net,East Donna,2025-11-09
15,Joseph Obrien,sarahcampos@example.net,Lake Larry,2026-05-17
16,Jessica Holmes,wrightcaleb@example.org,New Jeffrey,2023-10-27
17,Amy Jones,heathchad@example.org,Elizabethborough,2025-10-23
18,Timothy Duncan,esanchez@example.com,North Collin,2025-05-08
19,Jason Shields,nuneztracey@example.org,South Jessicaville,2024-07-29
20,Joshua Taylor,joshuawright@example.org,Mortonside,2023-12-08
21,Zachary Huff,housemelinda@example.org,Tuckerborough,2025-03-22
22,Carmen Smith,ybaker@example.com,Rodneyside,2026-05-02
23,Brittney Phillips,rileyamy@example.net,Brianshire,2025-07-18
24,Sarah Moore,yorkcasey@example.org,South David,2025-12-09
25,Kristopher Harvey,ksandoval@example.net,Sarahborough,2026-05-14
26,Cynthia Foster,stephen10@example.com,North Amandahaven,2024-08-23
27,Gregory Jones,mikemoore@example.net,Cherylhaven,2023-07-21
28,Kristen Huynh,mcmillandennis@example.org,Lake Angelaview,2024-09-18
29,Michelle Harris,william40@example.org,Calderonton,2023-07-14
30,Carlos Whitney,joycearnold@example.com,North Charlesberg,2025-11-02
31,Jacob Tran,tanderson@example.com,West Jasonbury,2026-05-10
32,Richard Henson,vdickson@example.org,Port Francisco,2024-04-09
33,Allison Doyle,kimberly63@example.com,Port Jacqueline,2025-02-22
